features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.equity_win,features.call_max_bb,features.call_margin_bb
SB,154.5,35.0,100.0,0.0,1.0,0.0,4.0,0.375,92.7,57.7
HJ,24.0,14.0,100.0,0.0,1.0,1.0,3.0,0.591667,34.77555818412914,20.77555818412914
SB,131.0,0.0,100.0,0.0,0.0,0.0,4.0,0.225,38.03225806451613,38.03225806451613
BB,130.0,14.0,100.0,0.0,1.0,0.0,4.0,0.302083,56.26856775232584,42.26856775232584
SB,4.0,0.0,100.0,0.0,0.0,0.0,2.0,0.558333,5.056596938417404,5.056596938417404
BTN,38.0,25.0,100.0,0.0,1.0,1.0,3.0,0.475,34.38095238095238,9.38095238095238
BB,13.0,0.0,100.0,0.0,0.0,1.0,3.0,0.259722,4.560970338170256,4.560970338170256
CO,104.6,2.3,100.0,0.0,1.0,0.0,3.0,0.370833,61.65156754883838,59.35156754883838
BB,5.0,0.0,100.0,0.0,0.0,0.0,3.0,0.558333,6.320746173021756,6.320746173021756
BB,7.5,0.0,100.0,0.0,0.0,0.0,4.0,0.177083,1.6139203589183355,1.6139203589183355
BTN,10.0,0.0,100.0,0.0,0.0,0.0,3.0,0.75,30.0,30.0
BB,10.0,0.0,100.0,0.0,0.0,1.0,3.0,0.252778,3.3829036082984705,3.3829036082984705
UTG,160.0,0.0,100.0,0.0,0.0,0.0,4.0,0.3375,81.50943396226415,81.50943396226415
BTN,42.0,0.0,100.0,0.0,0.0,0.0,4.0,0.275,15.931034482758625,15.931034482758625
BB,125.0,18.0,100.0,0.0,1.0,0.0,3.0,0.7125,309.7826086956522,291.7826086956522
CO,20.9,14.0,100.0,0.0,1.0,1.0,4.0,0.4,13.933333333333334,-0.06666666666666643
UTG,105.0,2.0,100.0,0.0,1.0,0.0,3.0,0.647222,192.63760778733365,190.63760778733365
BB,47.5,29.0,100.0,0.0,1.0,0.0,4.0,0.491667,45.94268422471097,16.942684224710973
BTN,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.516667,108.50014482768609,107.50014482768609
SB,42.0,25.0,100.0,0.0,1.0,1.0,4.0,0.275,15.931034482758625,-9.068965517241375
BB,78.3,0.0,100.0,0.0,0.0,1.0,4.0,0.339583,40.26145435384007,40.26145435384007
UTG,106.5,2.0,100.0,0.0,1.0,0.0,4.0,0.504167,108.2900603630658,106.2900603630658
CO,27.0,18.0,100.0,0.0,1.0,1.0,3.0,0.475,24.428571428571427,6.428571428571427
BB,158.0,30.0,100.0,0.0,1.0,0.0,4.0,0.45,129.27272727272728,99.27272727272728
BB,101.0,1.0,100.0,0.0,1.0,0.0,2.0,0.608333,156.87212095989707,155.87212095989707
BB,39.3,26.0,100.0,0.0,1.0,1.0,3.0,0.348611,21.032612310002165,-4.967387689997835
UTG,146.0,38.0,100.0,0.0,1.0,0.0,3.0,0.666667,292.000438000438,254.000438000438
SB,117.0,13.0,100.0,0.0,1.0,0.0,4.0,0.260417,41.19725439876255,28.197254398762553
SB,113.0,12.0,100.0,0.0,1.0,0.0,2.0,0.625,188.33333333333331,176.33333333333331
BB,29.5,0.0,100.0,0.0,0.0,1.0,4.0,0.385417,18.500026033912423,18.500026033912423
BB,101.5,0.0,100.0,0.0,0.0,1.0,4.0,0.3125,46.13636363636363,46.13636363636363
BB,9.0,0.0,100.0,0.0,0.0,0.0,5.0,0.131944,1.367994691586718,1.367994691586718
SB,24.0,0.0,100.0,0.0,0.0,1.0,4.0,0.454167,19.969492500453438,19.969492500453438
SB,16.5,0.0,100.0,0.0,0.0,1.0,4.0,0.583333,23.099968320025344,23.099968320025344
HJ,133.7,29.2,100.0,0.0,1.0,0.0,4.0,0.621528,219.5625927413388,190.3625927413388
BB,144.0,28.0,100.0,0.0,1.0,0.0,4.0,0.311111,65.03222434964124,37.03222434964124
BTN,122.5,13.0,100.0,0.0,1.0,0.0,4.0,0.602083,185.35314525390976,172.35314525390976
UTG,15.0,11.0,100.0,0.0,1.0,0.0,3.0,0.398611,9.942258671176228,-1.0577413288237718
SB,1.5,1.0,100.0,0.0,1.0,0.0,1.0,0.666667,3.0000045000045,2.0000045000045
SB,127.3,12.5,100.0,0.0,1.0,0.0,4.0,0.3125,57.86363636363637,45.36363636363637
BB,118.6,14.0,100.0,0.0,1.0,0.0,4.0,0.420833,86.17686056008026,72.17686056008026
UTG,106.5,2.0,100.0,0.0,1.0,0.0,4.0,0.441667,84.24638253515376,82.24638253515376
UTG,11.0,7.5,100.0,0.0,1.0,1.0,2.0,0.583333,15.399978880016896,7.899978880016896
SB,133.0,15.0,100.0,0.0,1.0,0.0,4.0,0.45625,111.59770114942528,96.59770114942528
HJ,103.5,2.0,100.0,0.0,1.0,0.0,2.0,0.595833,152.58226302493767,150.58226302493767
BB,3.5,2.0,100.0,0.0,1.0,0.0,2.0,0.570833,4.655333471585654,2.655333471585654
BB,9.0,0.0,100.0,0.0,0.0,0.0,5.0,0.266667,3.2727328512422047,3.2727328512422047
BB,18.1,12.5,100.0,0.0,1.0,1.0,4.0,0.602083,27.38687289057769,14.886872890577688
BB,128.5,14.0,100.0,0.0,1.0,0.0,3.0,0.7625,412.5526315789472,398.5526315789472
BB,113.0,11.0,100.0,0.0,1.0,0.0,3.0,0.411111,78.88675624778183,67.88675624778183
BB,7.0,0.0,100.0,0.0,0.0,0.0,4.0,0.3125,3.1818181818181817,3.1818181818181817
SB,20.0,0.0,100.0,0.0,0.0,1.0,4.0,0.2375,6.229508196721312,6.229508196721312
BTN,15.5,12.0,100.0,0.0,1.0,1.0,2.0,0.629167,26.2977903800363,14.2977903800363
SB,144.0,21.0,100.0,0.0,1.0,0.0,4.0,0.602083,217.884513604596,196.884513604596
BTN,42.0,0.0,100.0,0.0,0.0,0.0,4.0,0.3875,26.571428571428573,26.571428571428573
BTN,122.0,13.0,100.0,0.0,1.0,0.0,4.0,0.604167,186.21078586171444,173.21078586171444
CO,110.0,6.5,100.0,0.0,1.0,0.0,3.0,0.6125,173.87096774193552,167.37096774193552
BTN,108.0,0.0,100.0,0.0,0.0,0.0,5.0,0.355833,59.65838672269769,59.65838672269769
BB,136.5,25.0,100.0,0.0,1.0,0.0,3.0,0.666667,273.0004095004095,248.0004095004095
BB,134.0,15.0,100.0,0.0,1.0,0.0,5.0,0.35,72.15384615384615,57.153846153846146
BB,135.0,26.0,100.0,0.0,1.0,0.0,4.0,0.635417,235.2860528329626,209.2860528329626
HJ,140.2,26.2,100.0,0.0,1.0,0.0,3.0,0.454167,116.6551186901488,90.4551186901488
BTN,128.5,20.0,100.0,0.0,1.0,0.0,3.0,0.429167,96.6096205019682,76.6096205019682
BB,122.0,11.0,100.0,0.0,1.0,0.0,3.0,0.647222,223.82655381004483,212.82655381004483
UTG,10.0,6.5,100.0,0.0,1.0,1.0,2.0,0.629167,16.966316374216966,10.466316374216966
HJ,160.0,15.0,100.0,0.0,1.0,0.0,5.0,0.511667,167.645274843191,152.645274843191
BTN,103.5,2.0,100.0,0.0,1.0,0.0,3.0,0.336111,52.39955549798235,50.39955549798235
BB,47.8,0.0,100.0,0.0,0.0,1.0,5.0,0.185,10.850306748466258,10.850306748466258
BB,23.0,18.0,100.0,0.0,1.0,1.0,2.0,0.583333,32.19995584003532,14.199955840035322
BB,43.5,0.0,100.0,0.0,0.0,0.0,3.0,0.408333,30.02108534023361,30.02108534023361
BB,15.0,0.0,100.0,0.0,0.0,1.0,4.0,0.273611,5.650092443580506,5.650092443580506
CO,3.5,0.0,100.0,0.0,0.0,0.0,2.0,0.654167,6.620491682401623,6.620491682401623
SB,126.0,12.5,100.0,0.0,1.0,0.0,3.0,0.470833,112.11008622986697,99.61008622986697
BB,7.0,0.0,100.0,0.0,0.0,0.0,4.0,0.338194,3.577117765629202,3.577117765629202
BB,15.0,0.0,100.0,0.0,0.0,1.0,4.0,0.354167,8.225818439132098,8.225818439132098
SB,10.0,0.0,100.0,0.0,0.0,1.0,3.0,0.423611,7.349394245899904,7.349394245899904
HJ,122.6,13.1,100.0,0.0,1.0,0.0,4.0,0.2625,43.63728813559322,30.537288135593215
BB,147.0,15.0,100.0,0.0,1.0,0.0,5.0,0.475,133.0,118.0
SB,118.0,0.0,100.0,0.0,0.0,0.0,4.0,0.283333,46.65108620879712,46.65108620879712
BB,160.0,15.0,100.0,0.0,1.0,0.0,5.0,0.414167,113.11537588357092,98.11537588357092
BB,134.0,23.0,100.0,0.0,1.0,0.0,3.0,0.458333,113.38446314802268,90.38446314802268
UTG,108.0,2.0,100.0,0.0,1.0,0.0,5.0,0.308333,48.144503062890095,46.144503062890095
UTG,46.5,0.0,100.0,0.0,0.0,1.0,4.0,0.29375,19.34070796460177,19.34070796460177
BTN,67.2,0.0,100.0,0.0,0.0,1.0,4.0,0.379167,41.04166885458731,41.04166885458731
BTN,3.8,2.3,100.0,0.0,1.0,0.0,2.0,0.666667,7.6000114000114,5.3000114000114005
BB,35.0,22.0,100.0,0.0,1.0,1.0,3.0,0.495833,34.421441704831935,12.421441704831935
SB,126.0,12.0,100.0,0.0,1.0,0.0,4.0,0.604167,192.3160575293116,180.3160575293116
BB,122.0,11.0,100.0,0.0,1.0,0.0,3.0,0.5,122.0,111.0
SB,153.0,34.0,100.0,0.0,1.0,0.0,5.0,0.380833,94.1061926749972,60.1061926749972
BTN,49.0,26.0,100.0,0.0,1.0,0.0,4.0,0.452083,40.42960338883445,14.429603388834451
CO,104.5,0.0,100.0,0.0,0.0,0.0,3.0,0.475,94.54761904761904,94.54761904761904
SB,20.0,0.0,100.0,0.0,0.0,0.0,4.0,0.391667,12.876730343413886,12.876730343413886
SB,117.0,13.0,100.0,0.0,1.0,0.0,4.0,0.545833,140.61448982422766,127.61448982422766
UTG,49.0,0.0,100.0,0.0,0.0,1.0,4.0,0.325,23.59259259259259,23.59259259259259
SB,106.0,0.0,100.0,0.0,0.0,0.0,4.0,0.352083,57.60120200581246,57.60120200581246
HJ,103.5,2.0,100.0,0.0,1.0,0.0,2.0,0.545833,124.38974099835524,122.38974099835524
CO,136.0,0.0,100.0,0.0,0.0,0.0,4.0,0.325,65.48148148148148,65.48148148148148
SB,103.0,3.0,100.0,0.0,1.0,0.0,2.0,0.704167,245.16940638806352,242.16940638806352
BB,118.0,14.0,100.0,0.0,1.0,0.0,4.0,0.5375,137.13513513513513,123.13513513513513
CO,106.5,0.0,100.0,0.0,0.0,0.0,4.0,0.275,40.396551724137936,40.396551724137936
BB,103.8,2.3,100.0,0.0,1.0,0.0,3.0,0.425,76.72173913043478,74.42173913043479
UTG,117.0,13.0,100.0,0.0,1.0,0.0,4.0,0.579167,161.020022194077,148.020022194077
BTN,60.6,0.0,100.0,0.0,0.0,1.0,4.0,0.4,40.400000000000006,40.400000000000006
HJ,132.5,0.0,100.0,0.0,0.0,0.0,4.0,0.420833,96.27684674713856,96.27684674713856
BB,125.0,23.0,100.0,0.0,1.0,0.0,3.0,0.654167,236.44613151434368,213.44613151434368
BTN,10.0,0.0,100.0,0.0,0.0,0.0,3.0,0.7625,32.10526315789473,32.10526315789473
SB,7.5,0.0,100.0,0.0,0.0,0.0,4.0,0.491667,7.254108035480681,7.254108035480681
SB,180.4,31.2,100.0,0.0,1.0,0.0,5.0,0.258333,62.83584573669854,31.63584573669854
BB,124.0,14.0,100.0,0.0,1.0,0.0,5.0,0.143333,20.74702539026249,6.74702539026249
UTG,143.0,27.0,100.0,0.0,1.0,0.0,4.0,0.442361,113.43830506833274,86.43830506833274
CO,103.3,2.3,100.0,0.0,1.0,0.0,2.0,0.820833,473.2570668705733,470.95706687057327
HJ,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.658333,195.5728809045064,194.5728809045064
CO,16.3,13.5,100.0,0.0,1.0,0.0,2.0,0.6125,25.764516129032263,12.264516129032263
SB,115.8,12.5,100.0,0.0,1.0,0.0,3.0,0.513889,122.41719730678798,109.91719730678798
SB,127.3,12.5,100.0,0.0,1.0,0.0,4.0,0.3375,64.85094339622643,52.35094339622643
CO,133.8,31.0,100.0,0.0,1.0,0.0,3.0,0.552778,165.38027288460765,134.38027288460765
BB,6.1,0.0,100.0,0.0,0.0,0.0,3.0,0.541667,7.209100588436792,7.209100588436792
BB,31.0,21.0,100.0,0.0,1.0,1.0,2.0,0.4125,21.76595744680851,0.7659574468085104
SB,5.5,0.0,100.0,0.0,0.0,0.0,3.0,0.416667,3.9285768163296098,3.9285768163296098
SB,23.1,0.0,100.0,0.0,0.0,1.0,4.0,0.241667,7.3615518512315825,7.3615518512315825
BB,116.0,13.5,100.0,0.0,1.0,0.0,3.0,0.4625,99.8139534883721,86.3139534883721
BB,187.5,35.0,100.0,0.0,1.0,0.0,4.0,0.6125,296.37096774193554,261.37096774193554
BB,5.5,0.0,100.0,0.0,0.0,0.0,3.0,0.438889,4.301982139006364,4.301982139006364
BTN,3.5,2.0,100.0,0.0,1.0,0.0,2.0,0.816667,15.590943801716008,13.590943801716008
SB,114.0,0.0,100.0,0.0,0.0,0.0,2.0,0.675,236.7692307692308,236.7692307692308
BB,146.7,29.2,100.0,0.0,1.0,0.0,4.0,0.621528,240.911236762561,211.71123676256101
CO,14.8,11.5,100.0,0.0,1.0,0.0,2.0,0.779167,52.21896908523637,40.71896908523637
SB,1.5,1.0,100.0,0.0,1.0,0.0,1.0,0.645833,2.7352901314916407,1.7352901314916407
BB,1.0,0.0,100.0,1.0,0.0,0.0,2.0,0.591667,1.4489815910053807,1.4489815910053807
HJ,10.0,6.5,100.0,0.0,1.0,1.0,2.0,0.641667,17.90700270418856,11.40700270418856
BB,116.8,14.0,100.0,0.0,1.0,0.0,3.0,0.666667,233.6003504003504,219.6003504003504
HJ,184.0,28.0,100.0,0.0,1.0,0.0,4.0,0.63125,314.9830508474576,286.9830508474576
HJ,152.9,26.2,100.0,0.0,1.0,0.0,3.0,0.666667,305.8004587004587,279.6004587004587
UTG,188.0,29.0,100.0,0.0,1.0,0.0,4.0,0.602083,284.4603372060003,255.4603372060003
SB,49.6,29.6,100.0,0.0,1.0,1.0,4.0,0.295833,20.83783647913066,-8.76216352086934
CO,11.3,7.5,100.0,0.0,1.0,0.0,2.0,0.579167,15.551506417034783,8.051506417034783
SB,128.0,13.0,100.0,0.0,1.0,0.0,4.0,0.3125,58.18181818181818,45.18181818181818
CO,105.5,0.0,100.0,0.0,0.0,0.0,3.0,0.433333,80.67636107272878,80.67636107272878
BTN,5.5,0.0,100.0,0.0,0.0,0.0,3.0,0.454167,4.576342031353912,4.576342031353912
BTN,140.0,24.0,100.0,0.0,1.0,0.0,4.0,0.579167,192.67353083051947,168.67353083051947
BB,23.0,0.0,100.0,0.0,0.0,1.0,4.0,0.31875,10.761467889908255,10.761467889908255
BTN,50.5,0.0,100.0,0.0,0.0,1.0,3.0,0.4625,43.45348837209304,43.45348837209304
CO,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.6,2.25,2.25
BTN,103.5,2.0,100.0,0.0,1.0,0.0,3.0,0.708333,251.35673730658596,249.35673730658596
SB,171.0,23.0,100.0,0.0,1.0,0.0,5.0,0.608333,265.5953731103208,242.5953731103208
HJ,49.0,0.0,100.0,0.0,0.0,1.0,4.0,0.370833,28.880753440660428,28.880753440660428
BB,9.0,0.0,100.0,0.0,0.0,0.0,5.0,0.205556,2.3286776663931,2.3286776663931
UTG,28.0,0.0,100.0,0.0,0.0,1.0,3.0,0.35,15.076923076923077,15.076923076923077
BTN,31.0,21.0,100.0,0.0,1.0,1.0,3.0,0.425,22.91304347826087,1.913043478260871
BTN,15.5,12.0,100.0,0.0,1.0,1.0,2.0,0.570833,20.616476802736468,8.616476802736468
BB,15.0,0.0,100.0,0.0,0.0,1.0,4.0,0.356944,8.326117787564378,8.326117787564378
BB,122.0,11.0,100.0,0.0,1.0,0.0,3.0,0.481944,113.49577651836866,102.49577651836866
SB,128.0,13.0,100.0,0.0,1.0,0.0,4.0,0.5375,148.75675675675674,135.75675675675674
BTN,152.0,0.0,100.0,0.0,0.0,0.0,4.0,0.385417,95.322168039142,95.322168039142
SB,20.0,0.0,100.0,0.0,0.0,1.0,4.0,0.306944,8.857696924923816,8.857696924923816
BB,122.0,16.0,100.0,0.0,1.0,0.0,5.0,0.290278,49.89829257089396,33.89829257089396
HJ,14.8,12.3,100.0,0.0,1.0,1.0,2.0,0.779167,52.21896908523637,39.91896908523637
BB,131.0,14.5,100.0,0.0,1.0,0.0,4.0,0.448611,106.58181610441991,92.08181610441991
HJ,21.0,15.0,100.0,0.0,1.0,1.0,4.0,0.333333,10.499984250007875,-4.500015749992125
BB,3.8,2.3,100.0,0.0,1.0,0.0,2.0,0.454167,3.161836312571793,0.8618363125717932
HJ,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.658333,2.89023961927842,2.89023961927842
BB,105.0,5.0,100.0,0.0,1.0,0.0,2.0,0.675,218.0769230769231,213.0769230769231
BB,5.6,0.0,100.0,0.0,0.0,0.0,3.0,0.433333,4.282347128031101,4.282347128031101
BB,1.0,0.0,100.0,1.0,0.0,0.0,2.0,0.770833,3.3636300165381576,3.3636300165381576
BB,22.0,15.0,100.0,0.0,1.0,1.0,5.0,0.475,19.9047619047619,4.9047619047619015
HJ,18.0,13.5,100.0,0.0,1.0,1.0,3.0,0.5,18.0,4.5
SB,103.5,2.0,100.0,0.0,1.0,0.0,3.0,0.283333,40.918537479750015,38.918537479750015
UTG,178.0,40.0,100.0,0.0,1.0,0.0,4.0,0.602083,269.3294682056811,229.3294682056811
HJ,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.670833,3.05695741067604,3.05695741067604
BTN,120.0,0.0,100.0,0.0,0.0,0.0,4.0,0.295833,50.4141205140258,50.4141205140258
SB,139.0,13.0,100.0,0.0,1.0,0.0,4.0,0.402083,93.47373799373491,80.47373799373491
BB,14.8,0.0,100.0,0.0,0.0,1.0,3.0,0.386111,9.308592921521642,9.308592921521642
BB,44.0,28.0,100.0,0.0,1.0,1.0,3.0,0.3625,25.01960784313725,-2.9803921568627487
CO,144.5,24.0,100.0,0.0,1.0,0.0,4.0,0.6125,228.40322580645167,204.40322580645167
SB,120.0,15.0,100.0,0.0,1.0,0.0,4.0,0.621528,197.0644063497432,182.0644063497432
BTN,3.8,2.3,100.0,0.0,1.0,0.0,2.0,0.866667,24.70007125017812,22.40007125017812
BB,185.0,34.0,100.0,0.0,1.0,0.0,5.0,0.608333,287.3400235404055,253.34002354040553
BB,151.2,31.2,100.0,0.0,1.0,0.0,5.0,0.608333,234.8422246449152,203.64222464491522
SB,32.0,0.0,100.0,0.0,0.0,0.0,4.0,0.31875,14.972477064220184,14.972477064220184
HJ,29.5,20.0,100.0,0.0,1.0,1.0,3.0,0.716667,74.61776955031713,54.617769550317135
BB,144.5,28.0,100.0,0.0,1.0,0.0,4.0,0.358333,80.69468821055159,52.69468821055159
BTN,129.5,9.5,100.0,0.0,1.0,0.0,4.0,0.5125,136.1410256410256,126.6410256410256
HJ,102.5,2.0,100.0,0.0,1.0,0.0,2.0,0.65,190.3571428571429,188.3571428571429
BTN,60.6,0.0,100.0,0.0,0.0,1.0,4.0,0.366667,35.0842608864531,35.0842608864531
BB,46.0,28.0,100.0,0.0,1.0,1.0,4.0,0.373611,27.436794068861367,-0.5632059311386328
HJ,128.7,26.2,100.0,0.0,1.0,0.0,3.0,0.691667,288.7058566549802,262.5058566549802
UTG,104.5,2.0,100.0,0.0,1.0,0.0,3.0,0.633333,180.49974090932648,178.49974090932648
BB,48.0,30.0,100.0,0.0,1.0,1.0,4.0,0.329167,23.552830585257432,-6.447169414742568
BB,7.0,0.0,100.0,0.0,0.0,0.0,4.0,0.63125,11.983050847457626,11.983050847457626
HJ,133.0,22.0,100.0,0.0,1.0,0.0,3.0,0.469444,117.68041827818362,95.68041827818362
BTN,31.0,21.0,100.0,0.0,1.0,1.0,3.0,0.7625,99.52631578947366,78.52631578947366
SB,120.0,15.0,100.0,0.0,1.0,0.0,4.0,0.583333,167.99976960018432,152.99976960018432
SB,110.0,6.5,100.0,0.0,1.0,0.0,4.0,0.200694,27.619384816328168,21.119384816328168
BTN,69.7,0.0,100.0,0.0,0.0,1.0,3.0,0.227778,20.55901877957375,20.55901877957375
BTN,116.0,0.0,100.0,0.0,0.0,0.0,3.0,0.319444,54.44886827829011,54.44886827829011
BB,7.5,0.0,100.0,0.0,0.0,0.0,4.0,0.3875,4.744897959183673,4.744897959183673
CO,114.5,6.5,100.0,0.0,1.0,0.0,3.0,0.327778,55.83063482004458,49.33063482004458
BB,23.0,0.0,100.0,0.0,0.0,1.0,4.0,0.397222,15.156667960675405,15.156667960675405
HJ,122.6,13.1,100.0,0.0,1.0,0.0,4.0,0.44375,97.80449438202244,84.70449438202245
BB,153.0,34.0,100.0,0.0,1.0,0.0,5.0,0.270833,56.82847550698263,22.828475506982628
BB,144.0,28.0,100.0,0.0,1.0,0.0,4.0,0.3875,91.10204081632654,63.102040816326536
BB,1.0,0.0,100.0,1.0,0.0,0.0,2.0,0.4875,0.951219512195122,0.951219512195122
BB,132.5,15.0,100.0,0.0,1.0,0.0,4.0,0.377778,80.44650462375165,65.44650462375165
HJ,121.5,20.0,100.0,0.0,1.0,0.0,2.0,0.841667,645.8700365684982,625.8700365684982
BB,139.0,0.0,100.0,0.0,0.0,0.0,4.0,0.40625,95.10526315789474,95.10526315789474
BTN,122.0,11.0,100.0,0.0,1.0,0.0,3.0,0.477778,111.61712068813648,100.61712068813648
SB,139.5,26.0,100.0,0.0,1.0,0.0,3.0,0.3625,79.32352941176471,53.32352941176471
SB,120.0,15.0,100.0,0.0,1.0,0.0,4.0,0.621528,197.0644063497432,182.0644063497432
BTN,16.0,11.0,100.0,0.0,1.0,0.0,3.0,0.369444,9.374431454145231,-1.6255685458547688
BB,4.0,3.0,100.0,0.0,1.0,0.0,2.0,0.608333,6.212757265738498,3.2127572657384977
BB,153.0,34.0,100.0,0.0,1.0,0.0,5.0,0.3625,87.0,53.0
SB,37.5,25.0,100.0,0.0,1.0,0.0,2.0,0.6,56.25,31.25
SB,127.3,12.5,100.0,0.0,1.0,0.0,4.0,0.395833,83.40333202574784,70.90333202574784
BB,103.0,2.0,100.0,0.0,1.0,0.0,3.0,0.140278,16.806169901433258,14.806169901433258
SB,52.0,0.0,100.0,0.0,0.0,1.0,5.0,0.3,22.28571428571429,22.28571428571429
BB,4.0,3.0,100.0,0.0,1.0,0.0,2.0,0.541667,4.727279074384781,1.7272790743847812
BTN,116.5,0.0,100.0,0.0,0.0,0.0,3.0,0.430556,88.08552553016625,88.08552553016625
BTN,159.7,24.1,100.0,0.0,1.0,0.0,5.0,0.15,28.182352941176468,4.082352941176467
BB,119.5,15.0,100.0,0.0,1.0,0.0,4.0,0.53125,135.43333333333334,120.43333333333334
UTG,17.0,12.0,100.0,0.0,1.0,1.0,3.0,0.7625,54.57894736842104,42.57894736842104
BTN,113.0,9.5,100.0,0.0,1.0,0.0,3.0,0.468056,99.42837591926973,89.92837591926973
BB,103.0,3.0,100.0,0.0,1.0,0.0,2.0,0.520833,111.9563722042628,108.9563722042628
BTN,113.0,9.5,100.0,0.0,1.0,0.0,3.0,0.7125,280.0434782608696,270.5434782608696
BB,10.0,0.0,100.0,0.0,0.0,1.0,3.0,0.315278,4.6044672144315495,4.6044672144315495
CO,144.5,24.0,100.0,0.0,1.0,0.0,4.0,0.585417,204.0429938034121,180.0429938034121
SB,105.5,2.0,100.0,0.0,1.0,0.0,4.0,0.304167,46.116839097887,44.116839097887
CO,102.8,2.3,100.0,0.0,1.0,0.0,2.0,0.816667,457.92829223325873,455.6282922332587
CO,138.1,24.1,100.0,0.0,1.0,0.0,4.0,0.395833,90.47918423217422,66.37918423217423
SB,115.8,12.5,100.0,0.0,1.0,0.0,3.0,0.691667,259.7679735869985,247.2679735869985
SB,205.3,30.1,100.0,0.0,1.0,0.0,5.0,0.483333,192.0545823518824,161.9545823518824
SB,100.0,0.0,100.0,0.0,0.0,0.0,2.0,0.529167,112.38953089524314,112.38953089524314
CO,130.8,21.0,100.0,0.0,1.0,0.0,4.0,0.2375,40.74098360655738,19.74098360655738
BB,133.0,22.0,100.0,0.0,1.0,0.0,3.0,0.647222,244.00763653062265,222.00763653062265
CO,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.554167,1.864488496813829,1.864488496813829
UTG,110.0,6.5,100.0,0.0,1.0,0.0,3.0,0.4,73.33333333333334,66.83333333333334
BB,4.0,2.5,100.0,0.0,1.0,0.0,2.0,0.616667,6.434791682427549,3.934791682427549
UTG,18.5,14.0,100.0,0.0,1.0,1.0,3.0,0.458333,15.653825136107606,1.6538251361076064
BB,103.5,2.0,100.0,0.0,1.0,0.0,3.0,0.8,414.00000000000017,412.00000000000017
CO,147.5,26.0,100.0,0.0,1.0,0.0,4.0,0.6125,233.14516129032265,207.14516129032265
HJ,21.0,15.0,100.0,0.0,1.0,1.0,4.0,0.2125,5.666666666666666,-9.333333333333334
BB,3.5,2.0,100.0,0.0,1.0,0.0,2.0,0.554167,4.350473159232267,2.3504731592322674
BB,105.0,2.0,100.0,0.0,1.0,0.0,4.0,0.466667,91.87512304695188,89.87512304695188
BTN,23.0,15.0,100.0,0.0,1.0,0.0,5.0,0.35,12.384615384615383,-2.6153846153846168
SB,128.0,13.0,100.0,0.0,1.0,0.0,4.0,0.3125,58.18181818181818,45.18181818181818
SB,11.0,0.0,100.0,0.0,0.0,1.0,3.0,0.481944,10.233225751656189,10.233225751656189
BB,114.5,9.5,100.0,0.0,1.0,0.0,5.0,0.51,119.1734693877551,109.6734693877551
BB,9.0,0.0,100.0,0.0,0.0,0.0,5.0,0.364167,5.154660107292324,5.154660107292324
BB,185.0,34.0,100.0,0.0,1.0,0.0,5.0,0.570833,246.06762635524169,212.06762635524169
BB,47.5,29.0,100.0,0.0,1.0,1.0,4.0,0.260417,16.725381059326676,-12.274618940673324
SB,130.3,0.0,100.0,0.0,0.0,0.0,4.0,0.281944,51.16217008144211,51.16217008144211
BB,131.0,14.5,100.0,0.0,1.0,0.0,4.0,0.304167,57.2635632400303,42.7635632400303
CO,27.0,18.0,100.0,0.0,1.0,1.0,3.0,0.552778,33.37270080631096,15.37270080631096
BB,3.5,2.0,100.0,0.0,1.0,0.0,2.0,0.583333,4.8999932800053765,2.8999932800053765
BB,151.2,31.2,100.0,0.0,1.0,0.0,5.0,0.391667,97.34808139620895,66.14808139620895
BB,142.5,21.0,100.0,0.0,1.0,0.0,3.0,0.633333,246.13601033089972,225.13601033089972
BB,7.0,0.0,100.0,0.0,0.0,0.0,4.0,0.420833,5.086323979094113,5.086323979094113
CO,28.0,0.0,100.0,0.0,0.0,0.0,4.0,0.306944,12.40077569489334,12.40077569489334
SB,139.1,24.1,100.0,0.0,1.0,0.0,5.0,0.51,144.77755102040817,120.67755102040817
BB,1.0,0.0,100.0,1.0,0.0,0.0,2.0,0.7625,3.210526315789473,3.210526315789473
BB,131.0,14.5,100.0,0.0,1.0,0.0,4.0,0.452083,108.0873070191288,93.5873070191288
BB,5.6,0.0,100.0,0.0,0.0,0.0,3.0,0.475,5.0666666666666655,5.0666666666666655
BB,7.0,0.0,100.0,0.0,0.0,0.0,4.0,0.333333,3.4999947500026245,3.4999947500026245
BB,180.4,31.2,100.0,0.0,1.0,0.0,5.0,0.380833,110.9591971148333,79.7591971148333
BB,172.5,29.0,100.0,0.0,1.0,0.0,4.0,0.53125,195.5,166.5
BB,105.0,5.0,100.0,0.0,1.0,0.0,2.0,0.525,116.05263157894736,111.05263157894736
BTN,159.7,24.1,100.0,0.0,1.0,0.0,5.0,0.601667,241.22083759065904,217.12083759065905
BB,18.0,0.0,100.0,0.0,0.0,1.0,4.0,0.4,12.0,12.0
